,Stocks_Symbol,Stocks_Name,Stocks_Price,Stocks_Price_Change,Stocks_Percent_Change,Stocks_Volume,Stocks_Market_Capital
0,NCNO,"nCino, Inc.",31.69,+6.23,+24.47%,8.206M,3.557B
1,ABCM,Abcam plc,22.31,+3.25,+17.05%,4.762M,5.125B
2,SMSOF,Samsonite International S.A.,2.9400,+0.3400,+13.08%,"17,100",4.243B
3,CHFLF,China Feihe Limited,0.6209,+0.0666,+12.03%,"24,493",5.63B
4,ECX,ECARX Holdings Inc.,8.30,+0.87,+11.71%,"499,944",2.8B
5,ENVX,Enovix Corporation,15.12,+1.49,+10.93%,19.342M,2.391B
6,XNYIF,Xinyi Solar Holdings Limited,1.2399,+0.1200,+10.72%,"61,314",11.037B
7,OCDGF,Ocado Group plc,6.04,+0.49,+8.83%,"67,404",4.996B
8,LTMAY,LATAM Airlines Group S.A.,0.4400,+0.0350,+8.64%,"750,412",265.953B
9,LINRF,Liontown Resources Limited,2.1700,+0.1700,+8.50%,"34,382",4.775B
10,YPF,YPF Sociedad Anónima,14.55,+1.10,+8.18%,4.698M,10.737B
11,OCDDY,Ocado Group plc,11.82,+0.85,+7.75%,"47,157",4.889B
12,BALL,Ball Corporation,58.43,+3.94,+7.23%,11.573M,18.379B
13,WZZZY,Wizz Air Holdings Plc,9.65,+0.65,+7.22%,"47,859",3.987B
14,PAM,Pampa Energía S.A.,40.91,+2.57,+6.70%,"372,566",4.729B
15,TGS,Transportadora de Gas del Sur S.A.,13.32,+0.79,+6.30%,"313,621",3.834B
16,GLW,Corning Incorporated,35.85,+2.01,+5.94%,21.263M,30.477B
17,GGAL,Grupo Financiero Galicia S.A.,16.87,+0.92,+5.73%,1.72M,4.755B
18,PSNYW,Polestar Automotive Holding UK PLC,0.7250,+0.0250,+3.57%,"140,428",8.588B
19,MSTR,MicroStrategy Incorporated,293.39,+15.47,+5.57%,1.423M,3.802B
20,HCM,HUTCHMED (China) Limited,13.91,+0.71,+5.38%,"237,646",2.41B
21,AMPH,"Amphastar Pharmaceuticals, Inc.",55.03,+2.80,+5.36%,1.25M,2.657B
22,SYM,Symbotic Inc.,51.22,+2.58,+5.30%,1.931M,28.451B
23,SPOT,Spotify Technology S.A.,159.99,+7.81,+5.13%,3.533M,30.945B
24,STVN,Stevanato Group S.p.A.,32.37,+1.55,+5.03%,"800,576",8.568B
