,Stocks_Symbol,Stocks_Name,Stocks_Price,Stocks_Price_Change,Stocks_Percent_Change,Stocks_Volume,Stocks_Market_Capital
0,SOFI,"SoFi Technologies, Inc.",8.60,-0.95,-9.95%,107.557M,8.092B
1,CBT,Cabot Corporation,68.55,-6.07,-8.13%,1.65M,3.849B
2,IAS,Integral Ad Science Holding Corp.,17.64,-1.53,-7.98%,2.496M,2.733B
3,PROK,ProKidney Corp.,10.40,-0.85,-7.60%,"811,605",2.444B
4,PRVA,"Privia Health Group, Inc.",25.20,-2.03,-7.46%,3.702M,2.915B
5,AGL,"agilon health, inc.",17.36,-1.35,-7.22%,5.283M,7.202B
6,LU,Lufax Holding Ltd,1.5600,-0.1200,-7.14%,16.932M,7.911B
7,NEX,NexTier Oilfield Solutions Inc.,8.84,-0.68,-7.14%,12.808M,2.038B
8,TKGBY,Turkiye Garanti Bankasi A.S.,1.2500,-0.0900,-6.72%,"28,267",5.339B
9,JOBY,"Joby Aviation, Inc.",7.40,-0.53,-6.68%,10.768M,4.993B
10,RUM,Rumble Inc.,9.36,-0.67,-6.68%,3.448M,2.613B
11,PTEN,"Patterson-UTI Energy, Inc.",11.71,-0.77,-6.17%,14.792M,2.436B
12,VKTX,"Viking Therapeutics, Inc.",21.08,-1.38,-6.14%,7.128M,2.105B
13,OLK,Olink Holding AB (publ),17.81,-1.14,-6.02%,"128,034",2.215B
14,TOST,"Toast, Inc.",21.71,-1.32,-5.73%,10.599M,11.517B
15,PRTA,Prothena Corporation plc,68.43,-4.14,-5.70%,1.247M,3.61B
16,ZI,ZoomInfo Technologies Inc.,26.82,-1.58,-5.56%,58.349M,11.338B
17,AMRC,"Ameresco, Inc.",46.55,-2.66,-5.41%,"624,751",2.426B
18,SMCI,"Super Micro Computer, Inc.",230.77,-13.15,-5.39%,3.035M,12.113B
19,EBR-B,Centrais Elétricas Brasileiras S.A. - Eletrobrás,8.95,-0.50,-5.29%,"221,753",20.649B
20,ASAI,Sendas Distribuidora S.A.,13.98,-0.76,-5.16%,1.379M,3.952B
21,GT,The Goodyear Tire & Rubber Company,13.57,-0.72,-5.04%,6.533M,3.846B
22,IMVT,"Immunovant, Inc.",20.09,-1.04,-4.92%,3.016M,2.62B
23,KIGRY,KION GROUP AG,8.89,-0.45,-4.82%,"24,216",4.835B
24,DOCN,"DigitalOcean Holdings, Inc.",43.74,-2.18,-4.75%,2.829M,3.885B
